id,candidate_id,previous_status,new_status,status_change_date,changed_by,change_source,notes,cycle_time_days,created_at
1021,1344,Screen Rejected,Rejected,2025-08-08 08:00:28.146364,system,manual,,0,2025-08-08 08:00:28.146364
1022,1346,Screen Rejected,Rejected,2025-08-08 08:00:28.146364,system,manual,,0,2025-08-08 08:00:28.146364
1023,1353,Screen Rejected,Rejected,2025-08-08 08:00:28.146364,system,manual,,0,2025-08-08 08:00:28.146364
1024,1354,Screen Rejected,Rejected,2025-08-08 08:00:28.146364,system,manual,,0,2025-08-08 08:00:28.146364
1025,1356,Screen Rejected,Rejected,2025-08-08 08:00:28.146364,system,manual,,0,2025-08-08 08:00:28.146364
1026,1357,Screen Rejected,Rejected,2025-08-08 08:00:28.146364,system,manual,,0,2025-08-08 08:00:28.146364
1027,1360,Screen Rejected,Rejected,2025-08-08 08:00:28.146364,system,manual,,0,2025-08-08 08:00:28.146364
1028,1361,Screen Rejected,Rejected,2025-08-08 08:00:28.146364,system,manual,,0,2025-08-08 08:00:28.146364
1029,1364,Screen Rejected,Rejected,2025-08-08 08:00:28.146364,system,manual,,0,2025-08-08 08:00:28.146364
1030,1365,Screen Rejected,Rejected,2025-08-08 08:00:28.146364,system,manual,,0,2025-08-08 08:00:28.146364
1031,1366,Screen Rejected,Rejected,2025-08-08 08:00:28.146364,system,manual,,0,2025-08-08 08:00:28.146364
1032,1367,Screen Rejected,Rejected,2025-08-08 08:00:28.146364,system,manual,,0,2025-08-08 08:00:28.146364
1033,1368,Screen Rejected,Rejected,2025-08-08 08:00:28.146364,system,manual,,0,2025-08-08 08:00:28.146364
1034,1373,Screen Rejected,Rejected,2025-08-08 08:00:28.146364,system,manual,,0,2025-08-08 08:00:28.146364
1035,1379,Screen Rejected,Rejected,2025-08-08 08:00:28.146364,system,manual,,0,2025-08-08 08:00:28.146364
1036,1388,Screen Rejected,Rejected,2025-08-08 08:00:28.146364,system,manual,,0,2025-08-08 08:00:28.146364
1037,1390,Screen Rejected,Rejected,2025-08-08 08:00:28.146364,system,manual,,0,2025-08-08 08:00:28.146364
1038,1391,Screen Rejected,Rejected,2025-08-08 08:00:28.146364,system,manual,,0,2025-08-08 08:00:28.146364
1039,1392,Screen Rejected,Rejected,2025-08-08 08:00:28.146364,system,manual,,0,2025-08-08 08:00:28.146364
1040,1394,Screen Rejected,Rejected,2025-08-08 08:00:28.146364,system,manual,,0,2025-08-08 08:00:28.146364
